enterprise_id,ood_feature_count,ood_feature_fraction,missing_primary_feature_count,novelty_score_max_tail_distance,ood_flag,threshold_source,threshold_rule
E274,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E275,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E276,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E277,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E278,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E279,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E280,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E281,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E282,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E283,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E284,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E285,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E286,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E287,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E288,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E289,1,0.06666666667,0,0.01276083314,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E290,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E291,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E292,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E293,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E294,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E295,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E296,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E297,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E298,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E299,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E300,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E301,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E302,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E303,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E304,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E305,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E306,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E307,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E308,1,0.06666666667,0,0.003988528103,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E309,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E310,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E311,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E312,1,0.06666666667,0,0.068142521,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E313,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E314,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E315,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E316,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E317,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E318,1,0.06666666667,0,0.0008786861776,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E319,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E320,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E321,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E322,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E323,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E324,1,0.06666666667,0,0.08034914166,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E325,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E326,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E327,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E328,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E329,1,0.06666666667,0,3.217132545e-05,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E330,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E331,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E332,1,0.06666666667,0,0.01802438183,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E333,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E334,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E335,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
