scenario_id,scenario_kind,sensitivity_axis,industry_code,growth_yoy_pct,d_h_pp,S_h,D_identity,D_light,D_medium,D_severe,identity_multiplier,light_multiplier,medium_multiplier,severe_multiplier,c_pp,rho,lambda_severe,unknown_policy,unknown_S_value,known_S_p50_value,growth_source_url,source_release_date,source_period,source_standard,source_status,source_interpretation,parameter_source,duration_assumption,lgd,funding_cost_rate
formal_robust,formal_robust,formal_robust,transport_storage_post,-14.0,14.0,0.35,0.0,0.175,0.35,0.5249999999999999,1.0,1.04375,1.0875,1.13125,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
formal_robust,formal_robust,formal_robust,unknown,,35.3,0.8825,0.0,0.44125,0.8825,1.0,1.0,1.1103125,1.220625,1.25,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption_derived_policy,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
formal_robust,formal_robust,formal_robust,wholesale_retail,-17.8,17.8,0.445,0.0,0.2225,0.445,0.6675,1.0,1.055625,1.11125,1.166875,40.0,0.25,1.5,max_known_S,0.8825,0.23500000000000001,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_20p0,single_factor,c_pp,accommodation_catering,-35.3,35.3,1.0,0.0,0.5,1.0,1.0,1.0,1.125,1.25,1.25,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_20p0,single_factor,c_pp,agriculture,-2.8,2.8,0.13999999999999999,0.0,0.06999999999999999,0.13999999999999999,0.20999999999999996,1.0,1.0175,1.035,1.0525,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_20p0,single_factor,c_pp,construction,-17.5,17.5,0.875,0.0,0.4375,0.875,1.0,1.0,1.109375,1.21875,1.25,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_20p0,single_factor,c_pp,finance,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_20p0,single_factor,c_pp,information_software_it,13.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_20p0,single_factor,c_pp,leasing_business_services,-9.4,9.4,0.47000000000000003,0.0,0.23500000000000001,0.47000000000000003,0.7050000000000001,1.0,1.05875,1.1175,1.17625,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
sensitivity_c_pp_20p0,single_factor,c_pp,manufacturing_industry,-10.2,10.2,0.51,0.0,0.255,0.51,0.765,1.0,1.06375,1.1275,1.19125,20.0,0.25,1.5,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.5,0.03
